Comp,Att,Pct,Yds,Avg,Lng,TD,Int,Sck,Rate
316,508,62.2,3411,6.7,75,21,15,20,126.3
305,473,64.5,3328,7.0,69,16,18,24,127.1
267,419,63.7,3316,7.9,69,25,10,15,145.1
265,413,64.2,3306,8.0,78,28,10,23,148.9
257,453,56.7,3286,7.3,79,25,16,17,128.8
334,494,67.6,3225,6.5,84,25,19,24,131.5
237,384,61.7,3216,8.4,79,28,6,11,153.0
225,309,72.8,3175,10.3,66,33,4,22,191.8
237,447,53.0,3153,7.1,71,23,8,11,125.7
274,422,64.9,3149,7.5,64,13,13,14,131.6
238,403,59.1,3149,7.8,80,35,14,32,146.4
247,390,63.3,3090,7.9,69,28,12,14,147.4
239,350,68.3,3086,8.8,75,26,13,26,159.4
242,362,66.9,3063,8.5,80,33,11,26,161.9
283,453,62.5,3054,6.7,87,31,12,31,136.4
245,411,59.6,3024,7.4,83,28,13,22,137.6
237,404,58.7,3022,7.5,88,25,7,29,138.4
253,422,60.0,3017,7.1,79,20,6,34,132.8
234,391,59.8,3013,7.7,63,19,10,17,135.5
231,405,57.0,2990,7.4,90,17,12,27,127.0
